id,hub,zcta,state,latitude,longitude,predicted_pressure,predicted_risk,owner_households,renter_households,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd
97341-2024,ZCTA 97341,97341,US,44.819359,-124.043333,100.2138983943715,OK,1258,265,-2.93,-22.06,-2.78,1466.0
33868-2024,ZCTA 33868,33868,US,28.267639,-81.853797,100.19929833651273,OK,3973,408,8.52,-26.09,-1.9,1180.0
95672-2024,ZCTA 95672,95672,US,38.72226,-120.992955,100.19525767779177,OK,1869,110,0.27,-16.67,-2.28,1420.0
23089-2024,ZCTA 23089,23089,US,37.477156,-76.914756,100.19231768479985,OK,1897,220,3.89,-26.67,2.61,1298.0
84055-2024,ZCTA 84055,84055,US,40.745067,-111.149113,100.19151944108341,OK,419,39,-3.68,-11.36,-5.56,2597.0
45346-2024,ZCTA 45346,45346,US,39.982115,-84.709956,100.1890811262722,OK,558,150,-6.84,-29.91,-12.41,790.0
16123-2024,ZCTA 16123,16123,US,40.821932,-80.196513,100.18611180097737,OK,867,79,-0.69,-17.71,-1.86,1146.0
55310-2024,ZCTA 55310,55310,US,44.755905,-94.87631,100.17783198620089,OK,517,80,1.37,-24.53,-2.71,629.0
13757-2024,ZCTA 13757,13757,US,42.43209,-74.837828,100.16829789123098,OK,454,61,6.07,-26.51,2.07,1319.0
68015-2024,ZCTA 68015,68015,US,41.386614,-96.649718,100.16316127385329,OK,377,41,-7.14,-12.77,-8.88,1056.0
59634-2024,ZCTA 59634,59634,US,46.444934,-112.031499,100.16170995769683,OK,1854,120,6.98,-21.05,1.92,994.0
35097-2024,ZCTA 35097,35097,US,33.892188,-86.627133,100.15367531695395,OK,638,70,-1.54,-19.54,-3.92,1121.0
48463-2024,ZCTA 48463,48463,US,43.165799,-83.519301,100.10007457635876,OK,1585,137,-1.06,-15.95,-4.57,797.0
52638-2024,ZCTA 52638,52638,US,40.801453,-91.242327,100.09711545884274,OK,163,25,13.19,-32.43,12.45,780.0
97368-2024,ZCTA 97368,97368,US,45.024543,-123.903115,100.07288252670476,OK,1046,104,6.84,-22.96,6.53,1189.0
55382-2024,ZCTA 55382,55382,US,45.300423,-94.199089,100.07091721041266,OK,1362,74,0.44,-14.94,0.04,1327.0
15856-2024,ZCTA 15856,15856,US,41.082255,-78.614302,100.05758494538782,OK,327,34,-9.17,-10.53,-5.11,1000.0
36071-2024,ZCTA 36071,36071,US,31.706685,-86.397754,100.0520384886007,OK,143,45,-37.28,-6.25,-23.62,718.0
62082-2024,ZCTA 62082,62082,US,39.489989,-90.317508,100.03648061407671,OK,837,88,-4.99,-14.56,1.37,706.0
72127-2024,ZCTA 72127,72127,US,35.17311,-92.606047,100.03518450728653,OK,905,176,-3.42,-25.11,-5.36,763.0
51030-2024,ZCTA 51030,51030,US,42.497741,-96.188321,100.01706105745829,OK,484,88,-8.85,-20.72,-9.31,1050.0
32776-2024,ZCTA 32776,32776,US,28.800535,-81.48375,100.01373593351387,OK,4092,427,4.15,-25.35,-0.58,1514.0
37391-2024,ZCTA 37391,37391,US,35.093235,-84.35392,99.99826678544053,OK,549,82,8.07,-27.43,-0.35,481.0
38759-2024,ZCTA 38759,38759,US,33.829126,-90.737388,99.99339391912628,OK,480,89,4.8,-32.06,-1.5,1115.0
51331-2024,ZCTA 51331,51331,US,43.35956,-95.13082,99.99135236758016,OK,466,56,3.56,-12.5,-0.25,497.0
02562-2024,ZCTA 02562,2562,US,41.787984,-70.527592,99.98988093785161,OK,1226,158,2.68,-27.52,2.8,1923.0
